date,forecasted_value,lower_bound,upper_bound
2024-01-01,2179.38,2038.85,2306.37
2024-01-02,2114.1,1971.76,2246.56
2024-01-03,1976.11,1851.06,2112.18
2024-01-04,1913.39,1774.56,2049.25
2024-01-05,1930.73,1799.12,2062.19
2024-01-06,2051.99,1912.06,2184.62
2024-01-07,2170.35,2042.64,2299.91
2024-01-08,2179.1,2036.52,2313.87
2024-01-09,2108.5,1977.04,2236.31
2024-01-10,1965.53,1829.56,2097.21
2024-01-11,1898.29,1762.57,2039.89
2024-01-12,1911.63,1781.59,2052.87
2024-01-13,2029.5,1908.81,2163.01
2024-01-14,2145.15,2014.05,2279.3
2024-01-15,2151.88,2032.02,2283.79
2024-01-16,2080.01,1940.65,2217.92
2024-01-17,1936.51,1796.32,2063.71
2024-01-18,1869.48,1727.22,1996.65
2024-01-19,1883.74,1751.81,2006.1
2024-01-20,2003.2,1873.7,2142.34
2024-01-21,2121.06,1983.35,2259.45
2024-01-22,2130.55,1995.07,2260.66
2024-01-23,2061.91,1929.06,2189.64
2024-01-24,1922.03,1791.96,2058.78
2024-01-25,1858.91,1734.86,1998.06
2024-01-26,1877.28,1755.31,2007.87
2024-01-27,2000.97,1875.07,2139.23
2024-01-28,2123.04,1982.92,2246.07
2024-01-29,2136.68,2012.39,2267.55
2024-01-30,2072.02,1933.41,2203.69
