date,forecasted_value,lower_bound,upper_bound
2026-03-11,299.43,299.41,299.45
2026-03-12,317.57,317.51,317.63
2026-03-13,333.77,333.65,333.89
2026-03-14,347.48,347.3,347.67
2026-03-15,358.27,358.01,358.54
2026-03-16,365.85,365.5,366.2
2026-03-17,370.1,369.65,370.55
2026-03-18,370.46,369.89,371.01
2026-03-19,366.42,365.72,367.08
2026-03-20,357.66,356.84,358.44
2026-03-21,344.15,343.18,345.05
2026-03-22,326.1,325.02,327.14
2026-03-23,303.98,302.76,305.14
2026-03-24,278.49,277.17,279.79
2026-03-25,250.03,248.54,251.46
2026-03-26,219.02,217.39,220.6
2026-03-27,186.12,184.36,187.85
2026-03-28,152.24,150.31,154.12
2026-03-29,118.47,116.38,120.53
2026-03-30,86.09,83.83,88.3
2026-03-31,56.52,54.12,58.91
2026-04-01,30.69,28.12,33.27
2026-04-02,9.46,6.68,12.21
2026-04-03,0.0,0.0,0.0
2026-04-04,0.0,0.0,0.0
2026-04-05,0.0,0.0,0.0
2026-04-06,0.0,0.0,0.0
2026-04-07,5.39,1.65,9.07
2026-04-08,31.16,27.17,35.07
2026-04-09,66.72,62.48,70.85
